"PolicyNumber";"ProposalNumber";"Proses";"AgentCd";"productCd";"CreatedDate";"TransactionId"
"13224862";"200277532";TUP;"01005487";U4D;2021-05-07 10:11:08;"73bd3163-c9bc-4cc1-b895-26070bf59da7"
"13349728";"9700131651";TUP;"01004479";U4K;2021-05-06 14:39:18;c13569de-83a4-460e-9b5d-92c710610336
"13391746";"9700145316";SWI;"01005591";U2Z;2021-05-05 11:35:27;be614bf2-2e56-4551-9554-4b4252f20658
"13632564";"9700153865";SWI;"01005444";U2Z;2021-05-04 11:10:27;f70ea0a1-6ff6-4175-81a6-262e52ad97ae
"12839493";"9000144538";TUP;"01003838";U2Z;2021-05-03 12:11:40;d3e20283-ffed-4127-a1da-b391ec5a8aca
"11619968";"200153868";TUP;"01005487";U2V;2021-04-30 12:50:50;"32560a11-fa58-4218-81a2-e536be81b89b"
"13290498";"9700131793";TUP;"01005487";U4K;2021-04-29 13:13:41;aa45ca0f-97e8-40fd-b12c-17f7c9c9f4ec
"12309148";"9000041917";SWI;"01005555";U2Z;2021-04-21 13:31:51;"0b87ec3c-6a24-4368-96cc-85a6a681cd94"
"13054011";"9000146433";SWI;"01005438";U2V;2021-04-20 13:14:11;"5eb57cdd-9716-4205-b4f3-5bd612df9c2e"
"13211298";"9000147906";SWI;"01005438";U4D;2021-04-20 13:10:11;"614bd4db-7ea3-4076-bced-45111989048b"
"13571942";"9700141827";SWI;"01004696";U2Z;2021-04-20 10:41:09;"19176242-d34f-4d7b-a4a1-8d2289ef3c55"
"12309148";"9000041917";SWI;"01005555";U2Z;2021-04-15 13:46:49;dd21fce4-619b-4586-a25e-25aa1d121da7
"13571942";"9700141827";SWI;"01004696";U2Z;2021-04-14 11:20:35;eae114b4-9b09-44f0-ba41-b4a9503dc843
"13233615";"200277534";SWI;"01004479";U4D;2021-04-13 13:32:20;"710ff290-dfe3-49df-a29b-57868751e3ab"
"13396725";"9700140512";SWI;"01005612";U2Z;2021-04-13 13:02:54;eba61f42-17cd-45ed-8967-24f4bf8c1f16
"13546204";"9700154629";SWI;"01005591";U2Z;2021-04-13 11:00:48;"2aa47167-3bb8-4fc4-b909-03cbd123d883"
"13632564";"9700153865";SWI;"01005444";U2Z;2021-04-13 09:51:33;"66e965a3-20c1-4a73-b4e1-06619e9f11b7"
"13409859";"9700149651";SWI;"01005591";U2Z;2021-04-12 15:31:45;"0a22d3ae-590d-4105-9a11-f5c4e19b27a8"
"13658464";"9700159914";SWI;"01005591";U2Z;2021-04-12 14:30:28;"9e9901cd-c9e9-42cf-bef7-1ec1659c6dd4"
"13546031";"9700154435";SWI;"01005591";U2Z;2021-04-12 14:20:52;"259b1537-c1e3-4a83-8c9c-c4fbf460ce51"
"12525587";"9000111580";TUP;"01003838";U2T;2021-04-09 13:32:54;a734f976-8802-4aeb-8e12-2c1a43e80020
"12525587";"9000111580";TUP;"01003838";U2T;2021-04-09 13:32:37;ec5daa0f-3875-4a58-94a8-d0282096a263
"13482385";"9700152234";TUP;"01005612";U2Z;2021-04-08 14:12:11;"01b0abc6-b725-41ba-9eac-42250df5151f"
"13545624";"9700154249";TUP;"81000312";U2N;2021-04-06 12:55:48;"4ec186c9-6791-4fbe-9119-12dc3de435ac"
"13428516";"9700128485";SWI;"01005408";U4D;2021-04-06 11:20:04;"3227e372-49b0-46e5-b777-52da90e5bfaa"
"13428402";"9700128484";SWI;"01005408";U4D;2021-04-06 11:17:02;"446c5020-7be4-4d4b-bf56-df54ae6357d3"
"13466834";"9700152161";SWI;"01005591";U2Z;2021-04-05 10:16:02;"20a5faac-22da-4699-8342-4cf42d3d5b92"
"13634163";"9700157376";TUP;"81000312";U2N;2021-04-01 13:55:54;f908de96-2ad7-4a3b-89d1-5fefbc3765bc
"11805652";"200207044";TUP;"01003838";U2Z;2021-04-01 13:07:08;"6c4b8c2f-7600-4d28-83a0-51bf3bf8e156"
"12850616";"9000144751";SWI;"01005480";U2Z;2021-04-01 09:49:35;"13e46acb-c20e-49aa-9e8e-91791beff3ed"
"13634163";"9700157376";SWI;"81000312";U2N;2021-03-31 14:57:51;"0d2d6116-71f4-44c1-940a-23303aedeac5"
"12092416";"9000014201";SWI;"01003838";U2Z;2021-03-31 11:45:48;f30b796b-d8e2-4e0d-babb-ec61d5ece411
"13268818";"9000148579";TUP;"01005487";U4K;2021-03-29 14:54:28;"4a53e1dc-bad2-4ba6-a445-673484103e10"
"13268818";"9000148579";TUP;"01005487";U4K;2021-03-29 14:53:05;b2bf3116-d221-4581-8917-e5cca9c92d7c
"13268818";"9000148579";TUP;"01005487";U4K;2021-03-29 14:51:50;a94727e8-2fbe-45aa-bd23-752da2863df0
"13186035";"200247974";SWI;"01004479";U2V;2021-03-29 14:02:54;b2161982-e268-45d3-bf35-ac7b89fdca27
"13186035";"200247974";SWI;"01004479";U2V;2021-03-29 14:02:44;"920faee7-2e36-4eeb-b136-26ffe5f72725"
"13186035";"200247974";SWI;"01004479";U2V;2021-03-29 14:02:01;"2c8896b4-41dc-4091-a4d3-37a0beb20e51"
"13186035";"200247974";SWI;"01004479";U2V;2021-03-29 14:01:52;"3383930e-fc83-4b8e-95e9-56d5f7e38846"
"13305907";"200284719";TUP;"01004479";U4K;2021-03-29 11:54:36;"46b5a6a9-65c2-4c5a-b291-cfb6e0ed9fe0"
"13585396";"9700153189";TUP;"01004479";U4K;2021-03-26 12:26:24;"7733442e-9221-40d5-a49b-7f33b24b13cd"
"13407165";"9700146172";SWI;"01004384";U2N;2021-03-26 10:10:12;ec14d742-339f-46c1-ae69-f13bb57e9b18
"13333915";"9700141814";SWI;"01005618";U2N;2021-03-25 11:26:51;"2ab21f6b-8444-4b38-9fc4-26ab0f52ff76"
"13559418";"9700137947";SWI;"01004696";U2Z;2021-03-24 11:52:12;eeffbf8a-548e-4e87-a560-07dafe591b44
"13266801";"9000148533";TUP;"01004479";U4K;2021-03-23 11:00:35;"88877bbf-bdf4-42e9-91ff-588998b62bce"
"13414285";"9700141130";SWI;"81000312";U2N;2021-03-18 14:19:42;d7e709f8-0f80-48e1-9022-38783a5ce791
"13321821";"9700127625";TUP;"01004479";U4K;2021-03-18 13:29:41;"47587c1e-3e90-489d-95f8-31e2617e54df"
"13585435";"9700153190";TUP;"01004479";U4K;2021-03-15 08:58:41;"5cd66798-70c6-4260-99e9-ec9c805ad25a"
"12578542";"9000131732";SWI;"81000312";U2Z;2021-03-12 15:57:47;ef49c9fb-bd11-4b68-8f0f-cc00f21d746a
"13403265";"9700137245";SWI;"81000312";U2Z;2021-03-12 15:46:02;"3a016d77-5b65-4658-94b0-3025e57094a4"
"12248558";"9000031466";SWI;"81000312";U2T;2021-03-12 15:20:15;"136c7a95-0d05-46be-9cf8-f543b1a245c9"
"13358170";"9700137241";SWI;"81000312";U2N;2021-03-12 15:13:15;"82beaffd-e310-45de-b6ca-fa094cba175c"
